sensor_id,order,train_mse,val_mse,test_mse,val_mape,test_mape,val_mae,test_mae
75,"(2, 1, 2)",0.002977021538358703,103210.87097449954,64052.97943282411,249.67032339806025,128.598066604899,292.39994874089746,195.86890611192072
76,"(2, 1, 2)",0.0014753158830514144,105434.34859409127,51551.86523071513,449.3808337833302,95812957.5390167,288.90260536333807,193.93545521220153
77,"(2, 1, 2)",0.0023217457454499757,49575.418147450655,31104.847977455083,118.18672347372328,68.83580416012882,201.84021319482892,137.48107188797655
78,"(2, 1, 2)",0.00204347944934088,131941.6106101386,59819.55411805941,378.5352415092378,186.41767575270686,321.13050984860007,206.04803696632322
79,"(2, 1, 2)",0.007770795082613755,75209.61465500444,41750.24161000578,145.58187745458414,102.97356454108835,241.2578495363618,161.99157434914895
80,"(2, 1, 2)",0.0037097350148513094,53895.150220432886,26884.057962735966,125.46242726861693,78.8647263856827,199.49438785527695,138.36453322536659
81,"(2, 1, 2)",0.0038829211916990626,70624.10299576701,39330.19020927779,222.44649618314716,122.25619937555383,240.8912180819185,153.45098667738412
82,"(2, 1, 2)",0.0026804622163936215,71056.86210748184,55766.32406433939,83.43783080861554,82.88842107532967,232.1713495910471,190.6228075212889
83,"(2, 1, 2)",0.0027852963784182182,14107.882412858351,9199.17214975362,94942468.78566557,306746712.23962206,103.63116570675137,71.60359194728619
84,"(2, 1, 2)",0.0025658099691212815,78994.12912031323,40364.49205725668,291.09477112594897,119.78566804502728,253.9019141606302,157.0797971240302
85,"(2, 1, 2)",0.0021376937149812573,66806.19635093324,36935.68292586627,208.9589377076957,137.58932476434532,219.46207299003535,160.2531673625376
86,"(2, 1, 2)",0.002476136086832053,8462.946550794915,4427.106443654386,357136032.49395293,382369712.16674954,82.74288401313511,51.90857177983791
87,"(2, 1, 2)",0.0028398531414137946,8281.830307762688,5821.530476788014,95.4376802388476,54.54559601787553,76.04677961388735,58.62893219087618
88,"(2, 1, 2)",0.007412893672457206,78613.61817455731,42755.545201571374,303.6599820478633,160.70646264386042,241.44750975835402,171.56635681493776
89,"(2, 1, 2)",0.003705679293646743,14687.379375191442,6809.597534550888,710712451.1995319,248259053.55611748,107.75279766531116,71.8421993357329
90,"(2, 1, 2)",0.005014942719288651,56163.25970442983,35068.648785880294,155.807373023775,91.34428250232509,213.10960183653432,141.9493058682294
91,"(2, 1, 2)",0.006743926672123255,84188.20172836138,49539.95778669159,54285575.80399954,106.49373872561702,259.2550660479035,177.29747588093116
92,"(2, 1, 2)",0.002437135604495639,104972.93214165933,56386.98168011116,23881702930.111412,95.53076587620842,289.1059786947862,185.56310619217396
93,"(2, 1, 2)",0.003729247306808906,21693.91731235662,13421.105040440487,232.39577074500346,104.14968957943873,130.69564573089096,93.18206810519402
94,"(2, 1, 2)",0.0021909493241691414,95577.3629190171,46894.67293446381,310.4778215358214,242356699.70039818,276.2829704000137,178.49747050825982
95,"(2, 1, 2)",0.00464512224249281,98319.18084077613,51957.02158094067,191.50136929795823,113.19907788515609,275.7365972260879,188.37833850181923
96,"(2, 1, 2)",0.00993113387452465,54886.07743371596,32516.47761820684,124.39416822982996,87.49944443978382,201.4447638799383,150.8155786237635
97,"(2, 1, 2)",0.003536870900284308,160396.7487513375,76877.1698720758,150.40121721683215,96.89368455042502,348.9499016103948,237.75531154576473
98,"(2, 1, 2)",0.003386584119092674,16838.41899353615,8827.348053570959,752.2506261743359,327.6477060951285,115.82625129469531,71.60313340518323
99,"(2, 1, 2)",0.005335695386680487,29620.317036852495,20033.79656509074,81.44582614075992,60.19359763577739,149.54510471813106,110.62933691603912
100,"(2, 1, 2)",0.003044841359193517,75334.50882412547,39414.5981472766,10751726231.372671,5514388593.0408,232.00796466842087,174.42927849888173
101,"(2, 1, 2)",0.002177618022663857,121564.50385477449,68281.40341255236,166.45903588236715,75.11352668587298,311.2453139462834,207.93008835669013
102,"(2, 1, 2)",0.002686847709916123,41095.84742079559,24008.249448201106,309.1185194229587,143.77088755956228,183.7269693144553,124.43101548486705
103,"(2, 1, 2)",0.003219651919933431,46814.52118084279,29885.287582170502,238.481256486535,131.48118023444383,187.83157565165828,139.84034174821298
104,"(2, 1, 2)",0.0024370240784412096,23606.869553020464,12176.30290049867,380.9068548255266,177.00750049227258,138.2120660664659,90.99436788327108
105,"(2, 1, 2)",0.004603461423376748,32251.753857784286,14623.134369802527,300435276.5895979,79292747.72308536,160.57562014053616,101.09635262728978
106,"(2, 1, 2)",0.009678663375280784,81555.5494145241,42753.95376438995,28681763111.585026,3336350511.056763,244.54019224177193,170.17618925431157
107,"(2, 1, 2)",0.008260761842202112,5452.611743172907,2624.5662639591856,263.3839966308572,1378205169.783411,65.73372136547725,43.01379774565316
108,"(2, 1, 2)",0.0017501446750490886,204851.71355884598,98854.92818177612,320.5301353333375,139.91994697462252,405.88293129219943,248.7494084200536
109,"(2, 1, 2)",0.002109445566137597,105210.93091793428,65326.09673654743,216.57636232157188,106.8079792344722,290.7781261823371,200.79719176980208
110,"(2, 1, 2)",0.0018446886181799167,136046.12974168063,65043.08778219492,271.5355433659357,122.18876886858638,329.90858048048653,219.78249909511806
111,"(2, 1, 2)",0.0021936282562204303,152447.2392235814,66040.96530942929,254.48958132613893,136.4140057596933,346.34270259415746,225.92379850218893
112,"(2, 1, 2)",0.00339974406745378,13682.766074698293,6172.6148927798395,268.7456876943831,27329089.62101238,103.75754416400139,66.15866511540807
113,"(2, 1, 2)",0.0045798570614004885,6460.942550060294,4621.271183382408,82.64881044474146,73.606027037709,65.66421228658733,51.0908363209295
114,"(2, 1, 2)",0.0020499292468958608,51874.24093978217,33206.24023689713,200.72610602373805,2107203225.5252256,207.094343613828,140.693768590586
115,"(2, 1, 2)",0.0011685576862061284,44291.65029602501,32753.437286141805,403303482.3988155,188057643.53190184,180.65446906357275,136.837723459033
116,"(2, 1, 2)",0.0016087210090172351,42426.61288058365,23588.079035921233,1601814390.9735434,270708948.5541723,177.99467233868887,123.19139232327466
117,"(2, 1, 2)",0.005429234174128618,53264.73656105781,35225.52974643364,51134899.07739332,127.5890470081104,198.2636341228003,157.20307757034232
118,"(2, 1, 2)",0.006867701771063254,73487.60171671893,42788.35635959507,76120145162.8135,31081806675.1454,232.03375162109737,175.7950693702709
119,"(2, 1, 2)",0.0036657709365391514,147065.51578042711,72293.02671801785,236.87669568362492,120.4300203219602,346.06178104561553,211.33288538877332
120,"(2, 1, 2)",0.002401178228150719,132994.340596801,63586.12462179358,181.27308470498627,95.43194770072286,319.192682403935,202.4803264175322
121,"(2, 1, 2)",0.002223734347706158,106100.70308236222,48704.53851517185,258.9747760825262,121.75117728960556,290.01810563330343,190.40198373470574
122,"(2, 1, 2)",0.002860154279536743,103751.42107711275,47641.83271949,338.00933895690434,192.5677625903653,282.8098687378125,177.87880489403273
123,"(2, 1, 2)",0.0024659115766660885,103262.8043419114,57444.790785086916,343.79670743684744,150.90287601322015,287.3552143277947,190.9443510685945
124,"(2, 1, 2)",0.0028915011356104477,55800.644707405765,32732.613122215706,160.80057755138753,102.18477266445842,199.03774829642904,140.45629326938064
125,"(2, 1, 2)",0.001873455767494849,58672.44396714725,29106.73221426631,43600739678.08148,134608223.47898966,215.08073673547875,136.39164617370278
126,"(2, 1, 2)",0.0025997918826585363,19184.23813351266,8839.630503989256,59434215071.915375,164544396.72784883,122.68201440917696,73.79627716938099
127,"(2, 1, 2)",0.00322900067862995,66461.85450589201,36442.86510366433,142.41841752804413,163694502.25757238,228.58104005380923,151.58844383585242
128,"(2, 1, 2)",0.0045178929573528375,7165.364886910926,3961.4958016090577,159525051813.9737,65985209261.24021,74.9754381593855,48.64608647914705
129,"(2, 1, 2)",0.005221322195828563,2516.4516928385196,1425.2641828573705,6086424674.1953945,2223876155.255589,45.680741172591055,29.720454123064425
130,"(2, 1, 2)",0.00824639272558975,4119.8781676406,2226.239343754418,255.01872860807384,345346768.8192116,58.25079595349715,37.63853006879345
131,"(2, 1, 2)",0.006274649122920731,4391.549080834265,2170.275006792999,211561375.40263784,116455420.06799902,59.02509692434591,39.99880477289458
132,"(2, 1, 2)",0.0077671387084370545,3808.470055308227,1907.291403591612,172002417.07509226,6730333897.537851,54.67552026221645,36.88968651444447
133,"(2, 1, 2)",0.0037606510475226037,16862.570182452695,7919.219606456703,199020842.184262,150.49423778855865,117.12096439238779,76.24353526356701
134,"(2, 1, 2)",0.005410656517773248,18473.966460811218,9705.44439939501,195.60233946088502,160787571.86319962,119.62913120372336,83.68941862971367
135,"(2, 1, 2)",0.0015620260874119193,71934.20799695286,30243.51114612334,146592700.45306692,78942959.19655415,240.86612351428542,145.8866568769238
136,"(2, 1, 2)",0.005426409430855268,76376.55192899509,36364.60582693925,81943482012.66792,40721576369.54813,236.516504436287,167.68960588602997
137,"(2, 1, 2)",0.004083432277714855,90040.04747926122,35981.657679297816,3317.898815823585,124.4688853174544,265.73097908721616,164.56641099456462
138,"(2, 1, 2)",0.0038468954686278214,13052.327186401817,7097.180952205327,133.92848866450535,77.87030203015817,100.8318876983057,68.36092565065317
139,"(2, 1, 2)",0.0035100670329203205,29355.940393465076,13825.222967362579,126147397860.21059,55790562529.37808,153.76074416514658,100.92040778896717
140,"(2, 1, 2)",0.0022078000686112775,49626.02516696224,21271.17343887041,381.4292247374574,163.64503246371743,201.56185865523622,122.06316717911683
141,"(2, 1, 2)",0.0017451855554416421,70395.20241510763,37166.39468196034,211.7075066246422,98.42304028380543,232.89845347719103,153.7377227631349
142,"(2, 1, 2)",0.0035876447388046196,113309.05233158525,49672.82236316643,311.3604255159356,137.84762423970884,305.05413342882804,177.33623393879688
143,"(2, 1, 2)",0.0023860604013732577,16381.842829813011,7669.98795610702,104.4258433632379,63.32540186169698,112.83771486525994,76.83851551986461
144,"(2, 1, 2)",0.0004650668271538061,16749.912161482385,6963.391650744268,861578536.4877269,676464496.3169229,114.20079882899329,69.57159847122662
145,"(2, 1, 2)",0.003362649635727132,3524.7320665643497,2032.1971548379452,554570271.7670884,125052704.35685875,52.8133432190399,37.50442443330856
146,"(2, 1, 2)",0.0025474597305919907,78611.9452082397,43380.262882541894,122.87282350900479,153498165.08339497,246.59124961000734,167.22399248477365
147,"(2, 1, 2)",0.00423007931389172,17285.5383360244,9782.5487550421,204.35071658686553,106.54953164017526,116.11211251016677,81.2712953695578
148,"(2, 1, 2)",0.001336427020194257,32862.15848941723,16351.295865752762,854574462.3642128,441011688.14651805,158.40705684682118,106.35439966564574
149,"(2, 1, 2)",0.00046384462992728035,37103.03075766688,17348.63910056807,303.26412845718613,138.88460713130658,168.7873918973388,109.43627785903047
150,"(2, 1, 2)",0.00045309856290310236,37676.70218991097,15653.808178677196,855471131.4412488,662743293.8317636,171.27059418523476,104.30003701770086
151,"(2, 1, 2)",0.003960874559768529,33960.05229326913,19397.374926006723,203.94173089527908,108.97348305115582,162.909072953097,112.92624118049498
152,"(2, 1, 2)",0.0025260233555165217,23056.510509678643,12888.183612274488,134.83857012177572,77.26562362499908,132.51290651882513,95.55696047670864
153,"(2, 1, 2)",0.00046044383255699643,104639.50045811242,43499.5931802217,860711425.4493356,666302870.3345919,285.4200641099204,173.89418015716402
154,"(2, 1, 2)",0.0022938670850155634,52732.01953734081,30334.427928017507,165.89238159116354,37490684.82493989,198.0659512426095,141.41597433956585
155,"(2, 1, 2)",0.002775376355296805,4289.751632955021,2796.055057153849,103.10270638236878,72.49593604193633,57.33319297343174,44.1160848800712
156,"(2, 1, 2)",0.0037210683932799122,7497.41854495362,3710.777296322887,175.97653012464463,78.95071364842092,77.16268830598506,50.77328516556007
157,"(2, 1, 2)",0.004739106722033293,8795.440880641336,4670.595396880397,160446868.72253597,333203743.1872462,83.9275720754161,54.77035766559795
158,"(2, 1, 2)",0.0023760775668666074,12906.50883691479,8018.35234330867,193.57807431738843,132357732.15230608,101.14040637615643,71.86868315483174
159,"(2, 1, 2)",0.002137889308376832,50315.7074499719,27176.211553828176,243.1133162721375,129.59174549583844,198.7287649284672,139.58405956835392
160,"(2, 1, 2)",0.0019038899073742762,39761.46091595168,17067.374849370317,141819898.70104486,90.28589625510328,173.8409977332239,116.33346633600848
161,"(2, 1, 2)",0.002286299150182637,26285.58778884596,16835.51661497773,218.45424517665992,116.824156985294,149.13893750709587,100.30265953971953
162,"(2, 1, 2)",0.0020103464767839197,53223.018596570975,27120.435612999772,256.1437532901544,148.63030507261817,202.61039828232128,135.91960939884288
163,"(2, 1, 2)",0.002466395044718186,50282.36763297696,26444.666715378717,301.3193471377631,164.95949059922307,204.4342169883728,128.42731159013604
164,"(2, 1, 2)",0.0022414590614709437,82015.03945287145,44767.14314744086,1896597499.5864763,2137537168.1855369,251.1759562766941,182.04022609845106
165,"(2, 1, 2)",0.003525007805928529,18458.84516413722,11083.330673557071,305.59573533920883,132.81974029055846,121.94391253052713,85.10525094376275
166,"(2, 1, 2)",0.0016751257036660611,17023.51397012119,8767.444866208854,110.8099263184395,65.97095660927079,113.82854238989269,74.54621173650041
167,"(2, 1, 2)",0.003827992213118675,20262.956950710748,14333.043135280988,171.41518532920966,96.21995764681385,129.44067162485496,92.44388090830844
168,"(2, 1, 2)",0.0029506454474737603,35708.953284342104,15834.459778107574,209.98832271292179,92658620.02340698,164.99408964904907,110.007288601091
169,"(2, 1, 2)",0.00045926808441063563,66952.07353887429,27858.430473717395,1977082467.9372497,1363327155.8185673,228.35368176785786,139.1754928758388
170,"(2, 1, 2)",0.00045926808441063563,66952.07353887429,27858.430473717395,1977082467.9372497,1363327155.8185673,228.35368176785786,139.1754928758388
171,"(2, 1, 2)",0.003574207638866638,23701.33908561327,13900.650834811284,202.4023539784971,116.57741397907645,141.511759255687,92.14211666042597
172,"(2, 1, 2)",0.0004650668271538061,16749.912161482385,6963.391650744268,861578536.4877269,676464496.3169229,114.20079882899329,69.57159847122662
173,"(2, 1, 2)",0.0044451354581411615,76696.31854818849,46836.083232073,56827480.861214094,98.11858114047335,243.84258246791447,174.2057089750519
174,"(2, 1, 2)",0.0015349511442633542,37654.89283125238,24466.178475475233,146.70841425541232,83.81985614350025,173.26071265367642,123.1981114627453
175,"(2, 1, 2)",0.002262498786928991,60506.9905791132,27293.55309344597,463.95556613094027,188117549.4152939,217.58075363191313,142.91116740618418
