lags,val_mse,test_mse,val_mae,test_mae,val_rmse,test_rmse,val_mape,test_mape
3,4.484524007539232e+16,4.485368339995669e+16,79588088.48416397,79593743.7693032,211766947.55176577,211786882.02992335,3161814159911009.0,2090781110639792.0
5,14237.540564869963,14191.877498170476,94.18859637598614,94.75817339564344,119.3211656198093,119.12966674246375,4692330780.330798,3796769444.079189
7,1.6705754799617962e+17,1.669747313294926e+17,296424481.91109765,296269506.7975304,408726740.00630254,408625416.8911824,1.0206567115299748e+16,8681121871623379.0
3,inf,inf,1.3018929843888743e+299,5.779499064246989e+298,inf,inf,inf,inf
5,14237.540564869963,14191.877498170476,94.18859637598614,94.75817339564345,119.3211656198093,119.12966674246375,4692330780.330798,3796769444.079189
7,inf,inf,5.4436191391199625e+299,4.411875622581749e+299,inf,inf,inf,inf
